Position,Name,Club,Category,Time
69,Stephen Winter,Queen's Park AC,M50,02:35:36
70,Jack Wiseman,Highland Hill Runners,M,02:35:41
71,Rory Hand,Carnethy HRC,M,02:35:43
72,Neil Black,Hartfell Hill Runners,M,02:35:48
73,Iain Pender,Queen's Park AC,M40,02:36:21
74,David Cowan,Unattached,M,02:37:59
75,Nick Gough,Strathearn Harriers,M40,02:38:04
76,Stephen Ainslie,Strathearn Harriers,M,02:38:28
77,Ian Collins,Westerlands CCC,M50,02:39:35
78,Craig Coull,Central AC,M,02:39:50
79,Alex Critchfield,Lochaber AC,M,02:39:55
80,Louise Mclelland,Lochaber AC,F,02:40:04
81,Alastair Pringle,Queen's Park AC,M55,02:41:30
82,Stewart Whitlie,Carnethy HRC,M60,02:42:11
83,David Allsop,Kirkintilloch Olympians,M50,02:42:12
84,Becky Penty,Westerlands CCC,F40,02:42:46
85,Robert Getley,Lomond Hill Runners,M,02:43:02
86,Adam Anderson,Hartfell Hill Runners,M55,02:43:52
87,Stewart Wilson,Highland Hill Runners,M55,02:44:10
88,Michael Delaney,Westerlands CCC,M,02:44:48
89,Grant Baxter,Ochil Hill Runners,M55,02:44:59
90,Alison McGill,Kinross Road Runners,F40,02:45:00
91,Alan Smith,Deeside Runners,M65,02:45:18
92,Jack Bonnamy,Carnethy HRC,M,02:45:24
93,Declan Valters,Carnethy HRC,M,02:45:24
94,Jen Clark,Queen's Park AC,F,02:45:34
95,Lizzie Knox,Carnethy HRC,F,02:45:45
96,Hazel Steven,Carnethy HRC,F40,02:45:57
97,Erica Belcher,Queen's Park AC,F,02:46:07
98,Alan O'Callaghan,Carnethy HRC,M,02:47:43
99,Helen Fallas,Carnethy HRC,F40,02:47:51
100,Michael Ibbott,Strathearn Harriers,M40,02:48:04
101,Ross Crawford,Queen's Park AC,M40,02:48:12
102,Gordon Mackinnon,Lochaber AC,M50,02:48:37
103,Ally Wight,Hartfell Hill Runners,M50,02:49:19
104,Richard Thurlow-Begg,Westerlands CCC,M40,02:49:25
105,Liam Riggans,Carnethy HRC,M40,02:49:36
106,Paul Foster,Westerlands CCC,M,02:49:55
107,Scott Henderson,Westerlands CCC,M40,02:50:16
108,Clare Stansfield,Unattached,F,02:50:19
109,Niall Reid,Unattached,M,02:51:31
110,Thomas Bissett,Strathearn harriers,M,02:51:31
111,Caroline Marwick,Highland Hill Runners,F40,02:51:35
112,Don Reid,Westerlands CCC,M65,02:52:20
113,James Mayers,Musselburgh,M60,02:52:39
114,Martin Pritchett,Deeside Runners,M55,02:53:06
115,Mark Baugh,Ochil Hill Runners,M50,02:53:22
116,Dave Dowse,Strathearn Harriers,M40,02:53:34
117,Myrtle Breckenridge,Queen's Park AC,F,02:53:42
118,Allen Flockhart,Carnethy HRC,M40,02:53:44
119,Calum Brown,Unattached,M,02:53:57
120,Micky Anderson,Westerlands CCC,M60,02:54:47
121,Frederick Ungoed-Courtney,Strathearn Harriers,M,02:54:55
122,Joseph Watson,HBT,M,02:55:54
123,Murray Strain,HBT,M40,02:56:11
124,Russell Plowman,Ochil Hill Runners,M40,02:56:29
125,Bill Breckenridge,Queen's Park AC,M55,02:56:49
126,James Callender,Westerlands CCC,M,02:57:07
127,Grant Macdonald,Garscube Harriers,M40,02:58:21
128,Max Williamson,Westerlands CCC,M,02:59:01
129,Catriona Forsyth,Carnethy HRC,F,02:59:28
130,Felton Humble,Westerlands CCC,M40,02:59:55
131,Jonathan Weir,Unattached,M40,03:00:15
132,Garry Whyte,Unattached,M40,03:01:31
133,Iain Maclennan,Highland Hill Runners,M50,03:02:19
134,Tom Finch,Westerlands CCC,M,03:02:33
135,Adrian Davis,Lomond Hill Runners,M60,03:03:11
136,Rob Wilson,Penicuik Harriers,M55,03:03:27
137,Harry Batty,Ochil Hill Runners,M,03:03:34
138,Veronique Oldham,Cosmic Hillbashers,F55,03:03:39
139,Eilis McKechanie,HBT,F40,03:03:54
140,Alan Renville,Carnethy HRC,M55,03:03:58
141,Jamie Henderson,Beacon Runners,M,03:05:09
142,Katie Ross,Queen's Park AC,F,03:05:50
143,Martin Mchenry,Kirkintilloch Olympians,M,03:06:04
144,Liene Spru?eniece,Westerlands CCC,F40,03:06:06
145,Andrew Lightfoot,Unattached,M40,03:06:07
146,Daniel Harrison,Strathearn Harriers,M,03:06:24
147,Rachel Little,Deeside Runners,F40,03:06:46
148,John Tullie,Teviotdale Harriers,M65,03:07:24
149,Mike Thomson,Strathearn Harriers,M55,03:07:29
150,Nicky Spinks,Dark Peak,F55,03:07:40
151,Nancy Connolly,Highland Hill Runners,F,03:07:46
152,Joe Mackenzie,Kinross Road Runners,M40,03:09:20
153,Myles Painter,Westerlands CCC,M40,03:09:42
154,Matthew Cooke,Carnethy HRC,M40,03:09:56
155,Atis Kalejs,STAG,M50,03:10:07
156,Matthew Wanless,Dunbar Running Club,M40,03:10:12
157,Simon Templeman,Ochil Hill Runners,M55,03:10:24
158,Stephen Burn,Ochil Hill Runners,M50,03:10:31
159,Dominic Hughes,Dundee Roadrunners,M40,03:10:37
160,Steve Dauncey,Carnethy HRC,M,03:10:43
161,Neil Gilmore,Carnethy HRC,M60,03:10:54
162,Lisa Blackley,Unattached,F40,03:10:54
163,Rebecca Slater,Carnethy HRC,F,03:11:00
164,Cameron Bullen,Westerlands CCC,M,03:11:00
165,Derek Cassells,Carnegie Harriers,M50,03:11:44
166,Clark Findlay,Unattached,M55,03:11:53
167,Deborah Warner,Portobello RC,F50,03:12:10
168,Lina Payne,Deeside Runners,F60,03:12:51
169,Thomas Neil,Kirkintilloch Olympians,M,03:12:56
170,Gemma Bond,Edinburgh Athletics Club,F,03:13:01
171,Al Sealy,Deeside Runners,M60,03:13:34
172,Matt Pearce,Troon Tortoises,M50,03:14:59
173,Michelle Hetherington,Carnethy HRC,F60,03:15:02
174,F?ona Canavan,Dundee Roadrunners,F,03:15:11
175,Marc Roper,Westerlands CCC,M65,03:15:36
176,Caroline Friel,Westerlands CCC,F40,03:15:36
177,Maggie Ulyatt,Westerlands CCC,F,03:15:52
178,Edel Mooney,Ochil Hill Runners,F50,03:16:07
179,Graham Kelly,Westerlands CCC,M55,03:16:12
180,Becky Price,Westerlands CCC,F,03:16:30
181,Michelle Best,Ochil Hill Runners,F40,03:16:36
182,John Chambers,Carnethy HRC,M,03:17:22
183,Fiona Callaghan,Dundee Roadrunners,F,03:17:27
184,Lizzie Stansfield,Edinburgh Uni H&H,F,03:18:31
185,Mary Lye,Carnethy HRC,F50,03:18:49
186,Louise Waters,Ochil Hill Runners,F,03:18:57
187,Evan Griffiths,Westerlands CCC,M,03:19:30
188,Craig Malcolmson,Hartfell Hill Runners,M60,03:20:51
189,Morag Macrae,Carnethy HRC,F55,03:21:52
190,Elizabeth Wastnedge,HBT,F,03:22:14
191,Lee Holland,Carnegie Harriers,M55,03:22:40
192,Alison Campbell,Westerlands CCC,F40,03:22:47
193,Cathy Southworth,Carnethy HRC,F50,03:23:02
194,Grant Kennedy,Strathearn Harriers,M40,03:23:07
195,Matthew Allcock,Vegan Runners UK,M,03:23:35
196,Chris Furse,Westerlands CCC,M55,03:23:37
197,Suart Muir,Unattached,M40,03:23:53
198,Alice Gamble,Westerlands CCC,F,03:24:57
199,Ruth Clark,Strathearn Harriers,F60,03:25:43
200,Ian Thurlbeck,Westerlands CCC,M60,03:26:14
201,John Stevenson,Ochil Hill Runners,M65,03:26:33
202,Donald Brown,Lomond Hill Runners,M55,03:26:38
203,John Donnelly,Ochil Hill Runners,M55,03:27:04
204,Stephen McKeown,Milburn Harriers,M60,03:28:00
205,Lucas Lefevre,Carnethy HRC,M40,03:28:03
206,Adam Dickie,Dumfries Running Club,M40,03:28:25
207,Craig Walling,Moorfoots,M40,03:28:33
208,Daniel Clarke,Ochil Hill Runners,M40,03:29:19
209,Anna Szafranska,Unattached,F50,03:29:25
210,Chris Gunstone,Dunbar Atheletics Club,M65,03:29:49
211,Abby Younger,Lochaber AC,F,03:29:52
212,Gordon Pryde,Lomond Hill Runners,M65,03:30:33
213,Sam Gillies,Unattached,M40,03:31:32
214,Hazel Dean,Ochil Hill Runners,F60,03:32:29
215,Roderick Pugh,Kilmarnock Harriers,M70,03:34:11
216,Joan Wilson,Lomond Hill Runners,F60,03:34:23
217,Julia Sanders,Carnethy HRC,F60,03:35:48
218,Neil McLure,PH Racing,M55,03:35:50
219,Robert Bell,Dumfries Running Club,M,03:37:27
220,Fiona Comrie,North Ayrshire AC,F50,03:37:58
221,Jane Anderson,Carnegie Harriers,F55,03:39:42
222,Michael Mitchell,Dundee Roadrunners,M55,03:40:03
223,Jude Sevestre,Unattached,F40,03:40:22
224,Sarah Plint,Lauderdale Limpers RC,F40,03:40:26
225,Fraser Nunn,Unattached,M,03:42:51
226,Alasdair McCallum,North Ayrshire AC,M60,03:42:51
227,Kevin MacIver,Dunbar Running Club,M40,03:42:55
228,Natalie Cleverly,Unattached,F,03:43:24
229,Emma Sommerville,Ochil Hill Runners,F,03:44:33
230,Nicola Dawson,Westerlands CCC,F40,03:45:23
231,Heather Young,Unattached,F40,03:47:05
232,Alison Gelly,Dundee Roadrunners,F60,03:48:34
233,Anna Vincett,Westerlands CCC,F,03:50:21
234,Ausrine Ward,Westerlands CCC,F40,03:50:39
235,Marcas O'Siadhail,Unattached,M,03:50:58
236,Gregory Labonte,Unattached,M,03:51:44
237,Heather Darling,Portobello RC,F,03:52:00
238,Julian Pinkus,Portobello RC,M40,03:52:00
239,Josie Goodfellow,Strathearn Harriers,F50,03:52:32
240,Fiona Kelsall,Ochil Hill Runners,F55,03:53:02
241,Lucia Tisnes,Dundee Roadrunners,F40,03:54:37
242,James Purves,Gala Harriers,M65,03:54:46
243,Gavin Finbow,Queen's Park AC,M40,03:54:50
244,Hannah Godden,Lochaber AC,F,03:54:53
245,Ronnie Watson,Unattached,M55,03:57:33
246,Amy Gilligan,Dundee Roadrunners,F,03:59:44
247,Mike Johnson,Unattached,M60,04:01:57
248,Drew Lennie,Carnethy HRC,M65,04:02:42
249,Craig Addison,Carnethy HRC,M50,04:04:02
250,Sean Walker,Carnethy HRC,M50,04:04:02
251,Tracy Philp,Portobello RC,F50,04:04:31
252,Stacey Quigley,Unattached,F40,04:06:15
253,Catriona Padmanabhan,Garscube Harriers,F50,04:08:03
254,Amanda Connelly,Garscube Harriers,F50,04:08:03
255,Julie Spenceley,Unattached,F50,04:08:03
256,Kayleigh Carr,Lochaber AC,F,04:09:27
257,Charlotte Parkinson,Westerlands CCC,F40,04:13:53
258,Robbie Temple,Unattached,M50,04:14:38
259,Andrew Gallagher,Strathearn Harriers,M65,04:14:52
260,Andrew Fullwood,Westerlands CCC,M55,04:18:31
261,Alistair Hindle,HBT,M50,04:18:45
262,Jane Oliver,Deeside Runners,F65,04:18:47
263,Jennifer Clark,Kirkintilloch Olympians,F,04:21:54
264,Alison Caldwell,Portobello RC,F,04:21:57
265,David Oliver,Deeside Runners,M65,04:34:26
266,Chris O'Malley,Unattached,M40,04:42:07
267,Keith Gelly,Dundee Roadrunners,M55,04:45:10
268,Philippa Cockman,Highland Hill Runners,F65,05:01:45
