Position,Name,Club,Category,Time
67,Russell Plowman,Ochil Hill Runners,M45,03:27:39
68,Craig Durnan,Unattached,M,03:29:14
69,Helle Cordner,Helensburgh Amateur Athletics Club,FU23,03:29:59
70,Sam Jones,Unattached,M40,03:30:51
71,Kyle Heron,Carnethy Hill Running Club,M,03:33:47
72,Graham Kelly,Westerlands Cross Country Club,M55,03:34:41
73,Chris Thornton-Hogg,Unattached,M,03:34:48
74,Veronique Oldham,Cosmic Hillbashers,F55,03:34:59
75,Mark Thomson,Unattached,M50,03:35:45
76,Owen Wilkinson,Carnethy Hill Running Club,M,03:36:18
77,Angus Hunter,Unattached,M60,03:36:30
78,Stuart Buckett,Fife Athletic Club,M50,03:36:38
79,Nina Walkingshaw,Howgill,F45,03:36:44
80,Alasdair Meldrum,Ayr Seaforth AAC,M55,03:37:23
81,Lisette Walter,Lochaber Athletic Club,F40,03:37:37
82,Clark Findlay,Unattached,M55,03:37:50
83,Mark Bentley,Arran Runners,M55,03:38:00
84,Sarah Dunn,Deeside Runners,F55,03:38:20
85,Jamie Tait,Dumbarton AAC,M40,03:38:55
86,Sophie Readman,Unattached,F,03:39:55
87,Cathy Southworth,Carnethy Hill Running Club,F50,03:40:22
88,David Thom,Unattached,M,03:41:48
88,James Cameron,Unattached,M45,03:31:48
90,Liene Spru�eniece,Westerlands Cross Country Club,F40,03:42:20
91,Marc Roper,Westerlands Cross Country Club,M65,03:42:48
92,Duncan Ball,Penicuik Harriers,M60,03:43:22
93,Anna Szafranska,Unattached,F50,03:43:28
94,Daniel Innes,Unattached,M,03:44:06
95,Owen O'Neill,Westerlands Cross Country Club,M40,03:44:37
96,Kirsty Bryan-Jones,Dark Peak Fell Runners,F55,03:44:51
97,Gareth Brown,North Ayrshire Athletics Club,M45,03:45:24
98,Graham Kirby,Fife Athletic Club,M55,03:46:20
99,Mike Thomson,Strathearn Harriers,M55,03:47:02
100,Hazel Dean,Ochil Hill Runners,F60,03:48:37
101,Alex Sutherland,Swansea Harriers,M55,03:49:25
102,Mary Lye,Carnethy Hill Racing Club,F50,03:50:19
103,Julia Sanders,Carnethy Hill Running Club,F60,03:51:08
104,Andy Robertson,Unattached,M50,03:51:09
105,Daniel Clarke,Ochil Hill Runners,M45,03:55:05
106,Eddie Liles,NORTHOWRAM PUMAS,M23,03:55:34
107,Stephen Whiston,Mid Argyll Tri & Cycle club,M60,03:55:41
108,Stephen Gordon,Carnethy Hill Running Club,M60,03:56:28
109,Amy Disher,Lochaber Athletic Club,F,03:56:55
110,Emily Walmsley,Highland Hill Runners,F40,03:58:48
111,Tarun Purba,Unattached,M40,03:59:32
112,Joanne Pemberton,Westerlands Cross Country Club,F,04:04:24
112,Kenny Lang,Lochaber Athletic Club,M60,04:04:24
114,Stephen McKeown,Milburn Harriers,M60,04:07:03
115,Anna Vincett,Westerlands Cross Country Club,F,04:07:42
116,Steffen Gorgas,Westerlands Cross Country Club,M55,04:08:07
117,Peter McGowan,Westerlands Cross Country Club,M45,04:08:57
118,Hannah Godden,Lochaber Athletic Club,F,04:10:18
119,Tom Wilkes,Unattached,M,04:10:26
120,Kirsten Ramsay,Unattached,F55,04:10:53
121,Chris Furse,Westerlands Cross Country Club,M55,04:15:50
122,John Moffat,Highland Hill Runners,M65,04:16:01
123,Stephen Johnston,Milburn Harriers,M60,04:17:56
124,Kenneth Leitch,Unattached,M45,04:18:43
124,Freddie Bartholomew,Unattached,M23,04:18:43
126,Kirsten Mitchell,Westerlands Cross Country Club,F,04:22:03
127,Ceana Heron,Queens Park Athletics Club,F,04:23:05
128,Sean Walker,Carnethy Hill Running Club,M50,04:24:35
128,Craig Addison,Carnethy Hill Running Club,M50,04:24:35
130,Amanda Connelly,Garscube Harriers,F50,04:25:20
131,Chris Gunstone,Dunbar Athletics Club,M65,04:25:36
132,Rebecca Brown,Westerlands Cross Country Club,F,04:26:57
133,Arjun Biswas,Unattached,M,04:27:27
134,Roddy Kirk,Unattached,M40,04:30:59
135,Andrea Blomkvist,Westerlands Cross Country Club,F,04:32:09
136,Sophie Heavenor,Unattached,F,04:38:10
