Position,Name,Club,Category,Time
115,Colin Barber,Harmeny,M,02:25:49
116,Paul Eunson,Portobello,M40,02:25:52
117,Gareth Gordon,,M,02:26:06
118,Thomas White,Harmeny,M40,02:27:00
119,Darren Cavaroli,Harmeny,M,02:27:37
120,Simon Harrison,,M,02:28:41
121,David Poyner,,M40,02:28:45
122,Ronnie Ritchie,Kinross RR,M,02:28:52
123,Murray Bryce,Cosmic Hill Bashers,M40,02:28:55
124,Bob Still,Portobello,M,02:29:05
125,Timothy May,Harmeny,M,02:29:55
126,Neil Cameron,,M,02:30:02
127,Ken Stewart,Corstorphine,M40,02:30:39
128,Claire Ward,H.B.T.,F,02:30:54
129,Rachael Smith,Moorfoot Runners,F,02:31:29
130,Andrew Mardon,,M,02:31:32
131,Ken Robinson,,M,02:31:47
132,Tim Gibson,,M40,02:32:25
133,Stephen Mardon,Highland Hillrunners,M40,02:32:27
134,Sandy MacDonald,Portobello,M,02:32:30
135,Ian Fyfe,,M40,02:33:27
136,Ron Martin,Ochil HR,M,02:33:38
137,Frank Tooley,Harmeny,M40,02:33:41
138,Adam Coulson,,M,02:34:01
139,Paul McBride,,M,02:34:35
140,Craig Wilson,Musselburgh RC,M,02:34:37
141,Gillian McKelvie,Portobello,F50,02:34:38
142,Allan Tanner,Footworks,M,02:34:47
143,Gareth Hughes,Footworks,M,02:35:25
144,John Mitchell,Carnethy HR,M,02:35:57
145,Hilary Spenceley,Carnethy HR,F50,02:36:06
146,Alex Page,,M,02:36:27
147,Ian Brodie,Portobello,M40,02:36:47
148,Mike Lynch,Carnethy HR,M,02:37:25
149,Mark Keddie,,M,02:40:00
150,Alan Simpson,Portobello,M40,02:41:06
151,Chris Arnold,,M40,02:41:24
152,Matteo Tesser,,M,02:41:42
153,Ben Carter,Portobello,M,02:42:01
154,Chris Maguire,Portobello,M,02:42:03
155,Nicholas Moir,H.B.T.,M,02:42:14
156,Mark Porter,,M,02:42:33
157,Peter Midgley,,M40,02:43:04
158,Graeme Temple,,M,02:44:33
159,Kate Blake,Kinross RR,F,02:44:45
160,Jackie Smith,Kinross RR,F,02:44:49
161,Bill Gauld,Carnethy HR,M70,02:45:35
162,Arthur Somer,EUR Roadrunners,M,02:46:53
163,Nicholas Brindley,,M,02:47:23
164,Max Chapman,Lash Club,M,02:47:29
165,Denise Muir,Portobello,F,02:47:41
166,Shelagh McLeish,Portobello,F50,02:47:43
167,Marijn Rodenburg,EUR Roadrunners,M,02:48:27
168,Erwin van Harten,Rotterdam,M,02:48:32
169,Pascal Den Hartog,EUR Roadrunners,M,02:49:06
170,John Irving,Dundee RR,M,02:49:13
171,Neal Wyatt,Dunbar,M,02:52:13
172,Keith Nicol,Ferranti,M40,02:52:25
173,Graham McPheat,,M,02:52:46
174,Bill Duff,Carnegie H.,M70,02:54:48
175,David Greig,Carnegie H.,M,02:59:29
176,Lesley Hart,,F,02:59:31
177,David Drewette,"Ochil HR
Neuche in de ",M,03:01:20
178,Fred Brozzetti,Keuche,M,03:05:28
179,Ken Daniels,Carnegie H.,M70,03:08:07
180,Morna Fleming,Carnegie H.,F60,03:08:10
181,Karen Cameron,Footworks,F50,03:08:30
182,John Harris,,M60,03:13:55
183,Lesley Halstead,Carnegie H.,F,03:30:21
